Test number	Iterations	Std result	Lab result
0	1000	0,000185	0,001518
1	2000	0,000254	0,006393
2	3000	0,000233	0,018898
3	4000	0,000501	0,039173
4	5000	0,000513	0,065883
5	6000	0,000636	0,103420
6	7000	0,000544	0,152437
7	8000	0,000957	0,191069
8	9000	0,000827	0,252556
9	10000	0,001002	0,298579
10	11000	0,001370	0,381198
11	12000	0,001015	0,444005
12	13000	0,001231	0,520022
13	14000	0,001683	0,603597
14	15000	0,001399	0,716064
15	16000	0,001973	0,810566
16	17000	0,001668	0,927208
17	18000	0,001608	1,039226
18	19000	0,002398	1,166966
19	20000	0,001955	1,280357
20	21000	0,002110	1,409804
21	22000	0,002873	1,563016
22	23000	0,002516	1,775313
23	24000	0,004801	1,915883
24	25000	0,003100	2,050240
25	26000	0,002589	2,266899
26	27000	0,002483	2,473579
27	28000	0,002723	2,593781
28	29000	0,002933	2,899583
29	30000	0,004544	3,084130
30	31000	0,004483	3,442719
31	32000	0,003784	3,622405
32	33000	0,005960	3,859338
33	34000	0,003831	4,231732
34	35000	0,003846	4,805141
35	36000	0,003848	4,771871
36	37000	0,003820	5,064674
37	38000	0,003727	5,588422
38	39000	0,007960	5,801675
39	40000	0,003984	6,224270
40	41000	0,006070	6,465541
41	42000	0,005097	6,950135
42	43000	0,005303	7,466220
43	44000	0,004399	7,867777
44	45000	0,005355	8,187005
45	46000	0,005545	8,711332
46	47000	0,005004	9,321754
47	48000	0,008196	9,822609
48	49000	0,004779	10,397721
49	50000	0,005968	11,091439
50	51000	0,006774	11,426130
51	52000	0,005936	13,028382
52	53000	0,005608	13,022323
53	54000	0,005927	13,927934
54	55000	0,007843	14,915803
55	56000	0,011919	15,544179
56	57000	0,007687	15,436723
57	58000	0,007362	16,305033
58	59000	0,007700	17,159062
59	60000	0,006574	19,652714
60	61000	0,009408	22,465085
61	62000	0,007616	20,223051
62	63000	0,007641	21,051791
63	64000	0,009430	21,815669
64	65000	0,008627	22,934241
65	66000	0,007446	24,665508
66	67000	0,008815	24,539868
67	68000	0,015310	26,026740
68	69000	0,010066	26,484943
69	70000	0,009291	27,838507
70	71000	0,016167	29,786018
71	72000	0,009911	30,802170
72	73000	0,008589	32,091705
73	74000	0,008642	32,185608
74	75000	0,009376	33,533117
75	76000	0,008576	35,228989
76	77000	0,007946	36,545730
77	78000	0,013193	37,928860
78	79000	0,008836	39,459763
79	80000	0,009368	41,181907
80	81000	0,010044	42,687624
81	82000	0,008982	44,014163
82	83000	0,011997	45,952013
83	84000	0,011947	47,783601
84	85000	0,010677	48,482109
85	86000	0,010093	51,880799
86	87000	0,012259	53,666232
87	88000	0,009455	55,094488
88	89000	0,009461	57,933765
89	90000	0,011063	58,523542
90	91000	0,015656	60,689938
91	92000	0,010823	60,193643
92	93000	0,010530	48,558994
93	94000	0,009631	50,902906
94	95000	0,012551	51,361967
95	96000	0,011125	53,591281
96	97000	0,010098	55,058963
97	98000	0,011307	56,946262
98	99000	0,011419	58,625175
99	100000	0,010520	61,183776
